N,Runtime_ns,Comparisons,RecursionDepth,Allocations
1000,19750500,1123,10,0
11000,154904800,15005,13,0
21000,418237300,27939,14,0
31000,885149900,37442,15,0
41000,1551441900,54469,15,0
51000,2702858000,71562,16,0
61000,3879915200,75004,16,0
71000,4964738400,87250,16,0
81000,6757449100,107291,16,0
91000,8416946100,127382,16,0
