N,Runtime_ns,Comparisons,RecursionDepth,Allocations
1000,845100,7565,11,0
11000,1937400,87718,14,0
21000,2167000,168052,14,0
31000,7275500,253966,15,0
41000,2142100,332040,15,0
51000,1934600,413990,16,0
61000,2567700,496725,16,0
71000,3501400,583986,16,0
81000,3518700,664594,18,0
91000,3633700,740910,17,0
