N,Runtime_ns,Comparisons,RecursionDepth,Allocations
1000,843200,8824,9,1
11000,1847500,135554,12,1
21000,5265000,278062,13,1
31000,15981600,428459,14,1
41000,4651800,582159,14,1
51000,6120000,745655,14,1
61000,6990400,905302,15,1
71000,9135500,1061269,15,1
81000,10610000,1228694,15,1
91000,10929500,1401300,15,1
